"Datum","Titel","Abstimmungstext","Partei","Parole"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","SD","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","SP","JA"
"2013-03-03","3. Volksinitiative «Bezahlbar UND ökologisch wohnen!»","Stiftung für bezahlbare und ökologische Wohnungen, Grundkapital von 80 Millionen Franken (Umsetzung einer Volksinitiative)","SVP","NEIN"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","AL","NEIN"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","CVP","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","EVP","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","FDP","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","Grüne","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","glp","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","SD","NEIN"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","SP","JA"
"2012-11-25","Kunsthaus-Erweiterung Zürich","Kunsthaus-Erweiterung Zürich, Investitionsbeitrag von 88 Mio. Franken an die Bauherrschaft, einmaliger Beitrag von 5 Mio. Franken und Erhöhung des jährlichen Unterhalts- und Betriebsbeitrags um 7,5 Mio. Franken","SVP","NEIN"
".",,,,
".",,,,
".",,,,
".",,,,
".",,,,
".",,,,
".",,,,

